element	Propertie	n_0	n_1	n_2	n_3
1.0	0	1500248350	1501248350	1501249350	1500249350
2.0	0	1500249350	1501249350	1501250350	1500250350
3.0	0	1500250350	1501250350	1501251350	1500251350
4.0	0	1500251350	1501251350	1501252350	1500252350
5.0	0	1501248350	1502248350	1502249350	1501249350
6.0	0	1501249350	1502249350	1502250350	1501250350
7.0	0	1501250350	1502250350	1502251350	1501251350
8.0	0	1501251350	1502251350	1502252350	1501252350
9.0	0	1502248350	1503248350	1503249350	1502249350
10.0	0	1502249350	1503249350	1503250350	1502250350
11.0	0	1502250350	1503250350	1503251350	1502251350
12.0	0	1502251350	1503251350	1503252350	1502252350
13.0	0	1503248350	1504248350	1504249350	1503249350
14.0	0	1503249350	1504249350	1504250350	1503250350
15.0	0	1503250350	1504250350	1504251350	1503251350
16.0	0	1503251350	1504251350	1504252350	1503252350
17.0	0	1504248350	1505248350	1505249350	1504249350
18.0	0	1504249350	1505249350	1505250350	1504250350
19.0	0	1504250350	1505250350	1505251350	1504251350
20.0	0	1504251350	1505251350	1505252350	1504252350
21.0	0	1505248350	1506248350	1506249350	1505249350
22.0	0	1505249350	1506249350	1506250350	1505250350
23.0	0	1505250350	1506250350	1506251350	1505251350
24.0	0	1505251350	1506251350	1506252350	1505252350
25.0	0	1506248350	1507248350	1507249350	1506249350
26.0	0	1506249350	1507249350	1507250350	1506250350
27.0	0	1506250350	1507250350	1507251350	1506251350
28.0	0	1506251350	1507251350	1507252350	1506252350
29.0	0	1507248350	1508248350	1508249350	1507249350
30.0	0	1507249350	1508249350	1508250350	1507250350
31.0	0	1507250350	1508250350	1508251350	1507251350
32.0	0	1507251350	1508251350	1508252350	1507252350
33.0	0	1508248350	1509248350	1509249350	1508249350
34.0	0	1508249350	1509249350	1509250350	1508250350
35.0	0	1508250350	1509250350	1509251350	1508251350
36.0	0	1508251350	1509251350	1509252350	1508252350
37.0	0	1509248350	1510248350	1510249350	1509249350
38.0	0	1509249350	1510249350	1510250350	1509250350
39.0	0	1509250350	1510250350	1510251350	1509251350
40.0	0	1509251350	1510251350	1510252350	1509252350
